Template | Head | false | Frontal | null
Template | Head | false | Parietal (left) | null
Template | Head | false | Parietal (right) | null
Template | Head | false | Temporal (left) | null
Template | Head | false | Temporal (right) | null
Template | Head | false | Occipital | null
Template | Head | false | Sphenoid | null
Template | Head | false | Ethmoid | null
Template | Head | false | Mandible | null
Template | Head | false | Maxilla | null
Template | Head | false | Maxilla (left) | null
Template | Head | false | Maxilla (right) | null
Template | Head | false | Palatine (left) | null
Template | Head | false | Palatine (right) | null
Template | Head | false | Zygomatic (left) | null
Template | Head | false | Zygomatic (right) | null
Template | Head | false | Nasal (left) | null
Template | Head | false | Nasal (right) | null
Template | Head | false | Lacrimal (left) | null
Template | Head | false | Lacrimal (right) | null
Template | Head | false | Vomer | null
Template | Head | false | Inferior Nasal Conchae (left) | null
Template | Head | false | Inferior Nasal Conchae (right) | null
Template | Head | false | Malleus (left) | null
Template | Head | false | Malleus (right) | null
Template | Head | false | Incus (left) | null
Template | Head | false | Incus (right) | null
Template | Head | false | Stapes (left) | null
Template | Head | false | Stapes (right) | null
Template | Head | false | Hyoid | null
